id,number,name
1,1,Głoszenie od domu do domu
2,2,Reakcja na próbę przerwania rozmowy
3,3,"Pierwsze odwiedziny u osoby, która okazała zainteresowanie"
4,4,Zapoczatkowanie studium biblijnego podczas pierwszej rozmowy
5,5,"Studium biblijne  zosobą, która niezbyt dobrze czyta"
6,6,Zaawansowane studium biblijne
7,7,Zachęcenie zainteresowanego do przychodzenia na zebrania
8,8,Zachęcenie zainteresowanego do wprowadzenia w czyn jakiejś rady biblijnej
9,9,Przygotowanie się do służby z nieochrzczonym głosicielem
10,10,"Zachęcenie do czytania Bibli przez pokazanie, jak to robić, albo przez objaśnienie, jak lektura konkretnej księgi może nam prznieść pożytek"
11,11,Głoszenie przez telefon lub domofon
12,12,Głoszenie na ulicy
13,13,"Głoszenie na targu, w punktach handlowych lub usługowych"
14,14,Świadczenie nieoficjalne w poczekalni
15,15,Świadczenie nieoficjalne w środkach transportu publicznego
16,16,Głoszenie w jakimś miejscu charakterystycznym dla twojej okolicy
17,17,Dawanie świadectwa sąsiadowi
18,18,"Wyjaśnienie naszych wierzeń krewnemu, który nie jest Świadkiem"
19,19,Dawanie świadectwa współpracownikowi bądż koledze ze szkoły
20,20,"Rozmowa z nauczycielem, pracodawcą lub miejscowym urzędnikiem"
21,21,"Dawanie świadectwa lekarzowi, prawnikowi albo innemu specjaliście"
22,22,"Dawanie świadectwa osobie, która nie mówi dobrze w twoim języku"
23,23,Rozmowa z ateistą lub agnostykiem
24,24,"Głoszenie animiście, buddyście, hinduiście, katolikowi, muzłumaninow, protestantowi, żydowi albo wyznawcy jakiejś innej miejscowej religii"
25,25,"Współpraca w ramach programu ""Pionierzy wspierają drugich"""
26,26,Rozmowa między matką a dzieckiem lub między rodzeństwem
27,27,Udzielanie biblijnych zachęt osobie chorej
28,28,"Udzielanie pociechy na podstawie Biblii komuś napotkanemu w służbie, kto jest przygnębiony lub pogrążony w żałobie"
29,29,Udzielanie rady komuś młodemu przez osobę dorosłą
30,30,Inne sytuacje pasujące do Twojego terenu
